neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
Centro,Embajadores,40.4095756223969,-3.70519474367282,Entire home/apt,70,1,71,7.8,1,268
Chamberí,Trafalgar,40.4317527361318,-3.70066119240315,Private room,35,2,32,0.47,2,112
Centro,Sol,40.415157193564,-3.70731063837072,Entire home/apt,85,3,129,1.92,3,221
Centro,Palacio,40.4108811502123,-3.71097649480974,Entire home/apt,65,3,127,1.86,2,50
Centro,Palacio,40.4117225199987,-3.70989675026957,Entire home/apt,70,3,160,2.4,1,137
Centro,Universidad,40.4252748532223,-3.7042469797858,Entire home/apt,98,1,55,0.99,3,327
Chamartín,Hispanoamérica,40.4570663493239,-3.68650737246459,Private room,45,4,22,0.67,1,323
Centro,Universidad,40.4253789084781,-3.70505145529918,Private room,39,2,8,0.36,3,333
Centro,Embajadores,40.4139188080079,-3.70356167298262,Private room,70,3,87,1.28,1,297
Centro,Embajadores,40.4079680300232,-3.69977782295483,Entire home/apt,55,5,0,0,1,20
Salamanca,Castellana,40.4318646013176,-3.68514710533303,Entire home/apt,140,7,0,0,4,365
Centro,Universidad,40.4238370087847,-3.70686036664152,Private room,40,1,33,0.49,3,357
Arganzuela,Palos de Moguer,40.4039593765515,-3.70120991959572,Private room,25,1,87,1.29,1,160
Centro,Cortes,40.4147587255725,-3.69531292688788,Entire home/apt,130,5,91,1.35,1,314
Centro,Universidad,40.4206308172068,-3.70539386598938,Entire home/apt,85,4,222,3.27,2,302
Moncloa - Aravaca,Argüelles,40.4297329589886,-3.72117588526187,Private room,30,15,4,0.07,4,342
Centro,Embajadores,40.4127294098528,-3.70323920693145,Private room,30,7,19,0.3,1,250
Carabanchel,Puerta Bonita,40.3798739493941,-3.73215111566321,Entire home/apt,85,2,86,1.29,1,326
Hortaleza,Canillas,40.4585644621267,-3.64811081285862,Private room,40,2,44,0.66,1,317
Centro,Sol,40.4159071235958,-3.7024721464555,Entire home/apt,115,2,30,0.45,3,206
Centro,Justicia,40.4233337811127,-3.69705380558574,Entire home/apt,99,4,100,1.51,3,250
Centro,Cortes,40.4126722801222,-3.69921688887489,Entire home/apt,70,2,0,0,1,179
Centro,Cortes,40.4136568301127,-3.6978366216411,Entire home/apt,76,2,41,0.69,12,338
Centro,Sol,40.4160136168588,-3.70852878273471,Entire home/apt,145,3,126,1.92,12,291
Centro,Universidad,40.4234830806083,-3.70335841746534,Private room,25,1,80,1.2,3,171
Centro,Embajadores,40.4117484241473,-3.69931318821338,Entire home/apt,120,7,21,0.33,2,250
Salamanca,Goya,40.4267043768298,-3.67312249639951,Entire home/apt,110,5,4,0.09,28,43
Centro,Embajadores,40.4113027894745,-3.7078427195745,Entire home/apt,95,3,35,0.58,6,312
Centro,Cortes,40.4151753671989,-3.69979595233271,Private room,27,2,110,1.72,1,311
Chamberí,Arapiles,40.4342307677774,-3.70703093769611,Private room,25,4,25,0.46,1,281
Salamanca,Guindalera,40.4373478660284,-3.67694326173306,Entire home/apt,69,3,1,0.03,3,0
Centro,Embajadores,40.4088133693325,-3.7009176490816,Entire home/apt,55,2,331,4.95,5,329
Chamartín,El Viso,40.4473388192566,-3.68951988508053,Entire home/apt,75,2,61,1.05,1,323
Centro,Embajadores,40.4123784550367,-3.70059975705019,Entire home/apt,48,30,23,0.39,2,267
Carabanchel,San Isidro,40.3937644628047,-3.72482735394576,Private room,25,4,66,0.99,3,119
Carabanchel,San Isidro,40.3938886147964,-3.72331389222588,Entire home/apt,45,4,15,0.22,3,164
Centro,Universidad,40.4242202379696,-3.70939707410107,Entire home/apt,59,2,228,4.06,2,295
Tetuán,Cuatro Caminos,40.4502103347447,-3.69910169518967,Entire home/apt,46,3,8,0.16,1,96
Centro,Sol,40.4152321763785,-3.70649968154602,Entire home/apt,76,2,88,1.43,12,334
Centro,Justicia,40.4202403769828,-3.69746751758178,Entire home/apt,65,3,69,1.05,11,308
Centro,Universidad,40.4258601390865,-3.71049062040994,Entire home/apt,40,3,86,1.48,4,224
Centro,Embajadores,40.4081407358023,-3.70171137063654,Entire home/apt,56,3,25,0.4,1,280
Hortaleza,Valdefuentes,40.4708765276869,-3.62865671906491,Entire home/apt,120,2,66,1.1,4,333
Centro,Universidad,40.4232486663954,-3.70183309005934,Entire home/apt,65,1,250,3.81,1,141
Tetuán,Berruguete,40.4550946901776,-3.70286299640363,Private room,24,1,29,0.44,1,365
Hortaleza,Valdefuentes,40.4719768106016,-3.62952378348433,Entire home/apt,62,1,48,0.84,4,339
Centro,Embajadores,40.4123576237728,-3.70283811808321,Entire home/apt,72,3,42,0.66,1,96
Centro,Palacio,40.4175824507835,-3.71001090333633,Entire home/apt,65,3,167,2.66,6,255
Centro,Embajadores,40.4089820467187,-3.70920473467793,Entire home/apt,70,3,152,2.38,7,103
Centro,Universidad,40.4241870107679,-3.70834770280157,Entire home/apt,110,5,5,0.11,28,92
Centro,Palacio,40.4163530188399,-3.7098609703619,Entire home/apt,48,2,17,2.51,1,308
Centro,Palacio,40.420415411085,-3.70991486365688,Private room,30,1,139,2.24,2,271
Centro,Cortes,40.4136502253066,-3.70071767299977,Entire home/apt,59,3,6,0.13,8,271
Centro,Cortes,40.4145407036696,-3.70121192162221,Entire home/apt,59,3,14,0.23,8,272
Salamanca,Recoletos,40.4268760860462,-3.68519975397781,Entire home/apt,198,2,35,0.59,1,327
Centro,Sol,40.417900294039,-3.70819326299228,Entire home/apt,90,2,3,0.15,1,29
Centro,Justicia,40.4254009783188,-3.69661655421883,Entire home/apt,113,3,23,0.39,11,289
Centro,Universidad,40.425552570415,-3.71086685292627,Private room,30,1,11,0.18,2,0
Centro,Embajadores,40.4101584835396,-3.70441526823557,Private room,45,2,25,0.53,1,364
Centro,Cortes,40.4175993838197,-3.69807760208199,Private room,34,1,132,3.02,14,343
Latina,Puerta del Angel,40.4113605559278,-3.72456390716516,Private room,20,2,31,0.51,9,345
Moncloa - Aravaca,Argüelles,40.4250321333973,-3.71359934295424,Entire home/apt,75,4,16,0.44,51,304
Centro,Embajadores,40.4088537300506,-3.69856816833961,Entire home/apt,50,5,39,0.69,2,169
Chamberí,Gaztambide,40.4356731844671,-3.71638525456368,Entire home/apt,45,2,94,1.53,9,339
Centro,Justicia,40.4220273035268,-3.69898051404036,Private room,25,4,24,0.38,3,355
Centro,Sol,40.4148860647886,-3.70738313762075,Entire home/apt,80,3,30,0.72,9,324
Centro,Cortes,40.4147195631795,-3.6953326868567,Entire home/apt,120,3,14,0.93,6,153
Hortaleza,Canillas,40.4636692753799,-3.64849895936516,Private room,48,1,48,0.76,1,259
Centro,Justicia,40.4283317119797,-3.700752495338,Private room,45,3,137,2.22,1,0
Centro,Embajadores,40.4077940083854,-3.69613884081884,Entire home/apt,65,3,39,0.7,1,258
Centro,Universidad,40.4224781648676,-3.70891381211032,Entire home/apt,63,3,208,3.29,1,276
Centro,Universidad,40.4239332530918,-3.70983995882861,Entire home/apt,59,2,212,3.68,2,298
Chamberí,Trafalgar,40.4285782363647,-3.69858486156615,Entire home/apt,210,5,13,0.24,28,64
Chamberí,Arapiles,40.4333544887994,-3.70536930006023,Entire home/apt,65,3,126,2.07,1,301
Centro,Universidad,40.4257865892918,-3.70526201671057,Entire home/apt,138,3,132,2.15,1,327
Centro,Palacio,40.4202652172844,-3.70754890531127,Private room,23,7,14,1.27,1,344
Latina,Aluche,40.3938226910659,-3.75871194905658,Entire home/apt,80,5,8,0.13,1,217
Centro,Embajadores,40.4086241491982,-3.70764883548339,Entire home/apt,75,2,114,1.8,1,143
Centro,Embajadores,40.411204380882,-3.70741471887175,Entire home/apt,95,2,20,0.51,40,268
Carabanchel,Vista Alegre,40.3880817803255,-3.73455644371044,Private room,35,2,1,0.04,1,365
Centro,Cortes,40.4143299097119,-3.70123357677244,Entire home/apt,59,3,21,0.37,8,265
Centro,Embajadores,40.4105903586131,-3.70339656057124,Entire home/apt,75,3,109,1.9,1,268
Centro,Cortes,40.4139303828412,-3.6978982183925,Private room,20,2,103,1.74,2,314
Centro,Justicia,40.4229494010906,-3.69551975184831,Entire home/apt,63,5,30,0.49,1,309
Moncloa - Aravaca,Casa de Campo,40.4250056937767,-3.71721516958506,Entire home/apt,39,1,293,4.83,1,298
Centro,Sol,40.4145232831403,-3.70774267152654,Private room,55,2,100,1.67,2,199
Retiro,Pacífico,40.4064975892222,-3.67233236016253,Private room,22,1,93,1.66,9,143
Chamartín,Ciudad Jardín,40.4485917218036,-3.67746477226502,Private room,35,2,6,0.11,1,281
Salamanca,Castellana,40.4363677148882,-3.68521766283903,Private room,49,2,19,0.31,1,352
Centro,Universidad,40.4283609114233,-3.70560039644709,Entire home/apt,64,3,123,2.02,2,281
Centro,Cortes,40.4128101482254,-3.69559601223769,Entire home/apt,80,3,115,1.9,2,225
Tetuán,Cuatro Caminos,40.4531857138528,-3.6947164197414,Private room,40,1,108,1.79,2,216
Centro,Embajadores,40.4104744262741,-3.7020712054116,Entire home/apt,50,2,146,2.36,1,254
Centro,Embajadores,40.4087201905487,-3.6991911566875,Entire home/apt,71,3,23,0.39,2,318
Chamartín,Ciudad Jardín,40.4493052074327,-3.67424276907113,Private room,38,1,23,0.55,1,354
Centro,Cortes,40.4144004273562,-3.70125590249868,Entire home/apt,59,3,34,0.57,8,240
Centro,Cortes,40.4120517605837,-3.69542137943243,Entire home/apt,115,2,124,2.1,1,92
Arganzuela,Palos de Moguer,40.4033403367161,-3.69649296470735,Private room,30,1,30,0.9,1,365
Tetuán,Almenara,40.4729329099573,-3.68944899774027,Entire home/apt,170,2,20,0.4,2,300
Salamanca,Guindalera,40.4301989747446,-3.66483598396506,Entire home/apt,180,2,35,0.59,2,266
Centro,Embajadores,40.4094014763989,-3.70387427932962,Private room,25,2,91,1.46,1,350
Centro,Palacio,40.4193509035268,-3.71162347340638,Private room,39,2,159,5.09,3,137
Centro,Universidad,40.4272313922724,-3.70958895345536,Entire home/apt,55,3,65,3.37,3,125
Centro,Palacio,40.4208283537096,-3.71102135732741,Private room,39,2,89,4.58,3,104
Barajas,Timón,40.4713701939558,-3.58584231932669,Entire home/apt,57,2,73,7.47,1,95
Centro,Universidad,40.4247893176431,-3.70896111328353,Entire home/apt,70,1,37,0.61,2,18
Centro,Sol,40.4166477885187,-3.70771217620695,Entire home/apt,65,3,173,2.81,6,310
Centro,Universidad,40.4211319573156,-3.70180805978559,Entire home/apt,215,3,23,0.39,15,318
Moncloa - Aravaca,Argüelles,40.4255290337735,-3.71331438558991,Entire home/apt,119,4,11,0.36,51,325
Retiro,Niño Jesús,40.4097581173796,-3.67543858779086,Entire home/apt,60,2,100,1.68,2,32
Retiro,Niño Jesús,40.4090842507368,-3.67313074594801,Entire home/apt,3000,5,0,0,12,0
Centro,Sol,40.4175036610791,-3.70675860589879,Private room,49,2,213,3.51,1,329
Latina,Puerta del Angel,40.4120536723315,-3.72353458505995,Private room,18,1,11,0.18,1,0
Fuencarral - El Pardo,Pilar,40.472160821947,-3.70969951012332,Private room,18,2,26,0.71,1,326
Arganzuela,Acacias,40.4031410724643,-3.70427698906021,Private room,20,4,5,0.13,25,0
Moncloa - Aravaca,Argüelles,40.4254436441414,-3.71752292726694,Private room,25,4,19,0.32,25,0
Centro,Embajadores,40.4117670351235,-3.69985387083226,Entire home/apt,70,2,119,1.96,1,258
Centro,Palacio,40.4195273670299,-3.71004344894459,Entire home/apt,65,3,19,0.32,1,234
Centro,Sol,40.4188866312602,-3.70115692602156,Entire home/apt,150,3,10,0.29,15,315
Retiro,Pacífico,40.4057308381887,-3.67396145178597,Private room,20,1,26,0.44,9,148
Centro,Justicia,40.4215637344372,-3.69718546929666,Entire home/apt,54,2,91,1.9,1,2
Chamartín,Prosperidad,40.4391032929107,-3.6774541171426,Private room,40,1,51,0.93,1,340
Arganzuela,Acacias,40.4026589501403,-3.70373758880832,Private room,22,4,101,1.8,3,348
Centro,Sol,40.4190637992371,-3.70102514163632,Entire home/apt,80,3,8,0.14,15,278
Centro,Embajadores,40.4099530318525,-3.69710155965487,Entire home/apt,52,3,4,0.1,3,246
Retiro,Estrella,40.4076887173318,-3.66956253153962,Private room,19,2,137,2.3,3,95
Salamanca,Fuente del Berro,40.4225784527336,-3.66274605099094,Private room,25,2,21,0.5,1,333
Arganzuela,Palos de Moguer,40.4044245873801,-3.69256054497452,Entire home/apt,70,4,21,0.35,1,273
Centro,Palacio,40.4167212308481,-3.70948615698606,Entire home/apt,60,1,61,1.01,1,321
Centro,Palacio,40.4159261618062,-3.71117798492178,Entire home/apt,135,3,15,0.43,4,275
Latina,Puerta del Angel,40.4066874390984,-3.73672060081391,Private room,20,1,1,0.06,1,0
Puente de Vallecas,Palomeras Bajas,40.3800696999007,-3.65427703188907,Private room,16,2,23,0.4,1,66
Centro,Justicia,40.4256147766729,-3.69863771878962,Private room,70,3,3,0.05,15,260
Chamberí,Almagro,40.437589254885,-3.69782636207766,Entire home/apt,50,3,151,2.46,1,199
Centro,Universidad,40.4218207381462,-3.70388770421976,Entire home/apt,69,2,89,1.49,1,338
Centro,Sol,40.4145649286613,-3.70437376275824,Entire home/apt,77,10,15,0.31,51,301
Centro,Cortes,40.4149355508864,-3.70113604940729,Entire home/apt,70,4,10,0.71,51,308
Centro,Universidad,40.4267964348699,-3.71035604919456,Entire home/apt,54,3,148,2.46,1,281
Centro,Palacio,40.4111824329208,-3.70962819706615,Entire home/apt,118,4,39,0.68,51,316
Arganzuela,Palos de Moguer,40.4064234583016,-3.69509607478607,Entire home/apt,66,4,6,0.11,51,317
Retiro,Estrella,40.4078215917239,-3.66904297398603,Private room,21,2,119,2.03,3,135
Salamanca,Recoletos,40.4278116539983,-3.68681856975544,Entire home/apt,60,1,263,4.32,4,288
Retiro,Adelfas,40.4060605788085,-3.66889837390164,Entire home/apt,76,4,4,0.13,1,280
Centro,Embajadores,40.4132089705751,-3.70545821955139,Entire home/apt,81,4,8,0.32,51,324
Centro,Sol,40.415963435628,-3.70301852198919,Entire home/apt,82,4,66,1.34,51,240
Puente de Vallecas,Numancia,40.394849679376,-3.66115897795805,Private room,18,2,32,0.54,1,363
Centro,Universidad,40.4234178638679,-3.7045414651782,Entire home/apt,81,4,16,0.61,51,326
Tetuán,Valdeacederas,40.4653790546331,-3.69765995549469,Entire home/apt,95,3,0,0,15,300
Centro,Universidad,40.4243462658325,-3.70830822536716,Entire home/apt,95,3,1,0.05,15,332
Centro,Palacio,40.4104279010728,-3.70943660470286,Entire home/apt,113,5,7,0.19,51,324
Salamanca,Goya,40.4282268151815,-3.67775872742832,Private room,23,2,55,0.91,2,239
Centro,Cortes,40.412623881859,-3.69882402050435,Entire home/apt,56,2,293,4.82,1,326
Centro,Justicia,40.425509665375,-3.69724034934566,Entire home/apt,250,3,81,1.34,1,219
Centro,Palacio,40.409589348108,-3.71423352057954,Private room,285,1,1,0.03,2,365
Centro,Sol,40.4173619478246,-3.70012361719447,Entire home/apt,155,3,89,1.47,4,341
Chamartín,Hispanoamérica,40.4531780785452,-3.67191312815013,Private room,48,2,46,0.77,1,354
Centro,Palacio,40.4128231555575,-3.70748686530656,Entire home/apt,65,4,2,0.04,51,290
Centro,Cortes,40.4113338315677,-3.69519699873899,Entire home/apt,108,4,21,0.62,51,326
Centro,Embajadores,40.4078083484771,-3.70245117974073,Entire home/apt,65,2,146,2.4,1,302
Centro,Universidad,40.4248214726027,-3.70581526772782,Entire home/apt,76,4,15,0.5,51,330
Centro,Universidad,40.4260206981779,-3.70501576980941,Entire home/apt,38,1,389,6.59,5,212
Centro,Sol,40.4183719481767,-3.70320859884231,Entire home/apt,72,3,10,0.19,4,344
Centro,Justicia,40.4214648211306,-3.69940783744516,Private room,37,1,11,0.19,1,365
Tetuán,Cuatro Caminos,40.4548251163564,-3.69994042084558,Private room,25,7,3,0.07,2,263
Retiro,Ibiza,40.419178378873,-3.67421756873824,Entire home/apt,120,3,14,0.41,2,253
Centro,Embajadores,40.4119940815576,-3.70301096547282,Entire home/apt,65,5,7,0.12,2,215
Centro,Universidad,40.4296111747091,-3.7085102022189,Entire home/apt,110,3,122,2.09,1,261
Centro,Embajadores,40.4126810920418,-3.70124736130644,Entire home/apt,65,5,2,0.04,2,224
Tetuán,Bellas Vistas,40.4479781684014,-3.70589155307956,Entire home/apt,70,2,16,0.27,1,265
Centro,Universidad,40.423105089693,-3.70481753172724,Private room,25,10,14,0.24,1,170
Moncloa - Aravaca,Casa de Campo,40.4293445537491,-3.7222856365139,Private room,39,2,87,1.47,4,86
Chamartín,Prosperidad,40.4446224040239,-3.67300718847272,Entire home/apt,95,3,4,0.1,1,138
Centro,Palacio,40.4150180330829,-3.70973354761908,Private room,36,2,143,2.41,3,340
Centro,Universidad,40.4206569678954,-3.70493999807022,Entire home/apt,76,4,13,0.27,51,312
Latina,Puerta del Angel,40.4099867708694,-3.72436621035618,Private room,20,2,7,0.17,9,345
Latina,Puerta del Angel,40.4115539381083,-3.72370604929,Private room,20,2,6,0.13,9,346
Chamberí,Trafalgar,40.4352462816793,-3.70135299432122,Private room,48,3,117,1.98,1,336
Centro,Universidad,40.423532158315,-3.70308351958636,Entire home/apt,60,2,319,5.3,4,301
Chamberí,Trafalgar,40.4289740054007,-3.69710571803869,Entire home/apt,30,3,7,0.12,1,0
Arganzuela,Palos de Moguer,40.4048436538125,-3.69913438720925,Entire home/apt,68,3,15,0.29,4,273
Chamberí,Trafalgar,40.4297575088855,-3.7025894196376,Entire home/apt,38,3,168,2.83,1,242
Centro,Universidad,40.4259466349326,-3.71000291918324,Entire home/apt,44,4,85,1.43,4,247
Centro,Universidad,40.4268650648976,-3.70319809916114,Private room,40,2,145,2.44,2,324
Centro,Cortes,40.4150194530252,-3.70062159943858,Entire home/apt,76,4,10,0.25,51,312
Centro,Justicia,40.4211503440218,-3.69872296590432,Entire home/apt,76,4,16,0.29,51,319
Centro,Universidad,40.4252404990844,-3.70504282136097,Entire home/apt,81,4,7,0.24,51,333
Centro,Sol,40.4166110026486,-3.70282321525957,Entire home/apt,82,4,10,0.32,51,307
Chamartín,Hispanoamérica,40.4540272916465,-3.68177867940869,Entire home/apt,54,3,15,0.51,4,310
Centro,Palacio,40.4119281631537,-3.70980742869119,Entire home/apt,70,3,27,0.46,1,218
